Model,Chapter,Question,Answer,Question Score,Answer Score,,,,Question Score,Answer Score
Full Model,Chapter 1.1,"What is the primary purpose of multiplexing in the transport-layer, and how does it extend the network-layer's delivery service, specifically including the role of demultiplexing in relation to multiplexing?","""The primary purpose of multiplexing in the transport-layer is to extend the network-layer's delivery service to a process-to-process delivery service for applications running on the hosts, enabling multiple applications to share the same connection.""",5,5,,,,,
Full Model,Chapter 1.1,"""A host has two applications (HTTP and FTP) running on two different sockets, and it receives segments from the network layer under a network congestion scenario where packet loss and delays are common. Describe the steps the transport layer would take to demultiplex the segments, handle the congestion, and deliver the data to the appropriate application process, considering the impact of packet loss and delays on the demultiplexing process.""","""The transport layer at the destination host would demultiplex the segments by examining the fields in the segment, specifically the destination socket number, to identify the receiving socket and direct the segment to the appropriate application process. In a network congestion scenario with packet loss and delays, the transport layer would retransmit lost packets and manage the flow of data to handle the congestion, ensuring reliable delivery of data to the application process.""",5,5,,,,,
Full Model,Chapter 1.1,"What is the primary function of the network layer in a network, specifically its role in routing datagrams between hosts?","""The primary function of the network layer is to route datagrams between hosts.""",4,5,,,,,
Full Model,Chapter 1.1,"How do the data-plane and control-plane of a router collaborate in a specific scenario, such as routing between two hosts, to ensure the end-to-end delivery of datagrams?","""The data-plane and control-plane collaborate by the control-plane coordinating the data-plane's forwarding actions to ensure end-to-end delivery of datagrams.""",5,4,,,,,
Full Model,Chapter 1.1,"How does the trade-off between hardware and software implementation of forwarding affect the overall performance of a router, and what specific scenario or example illustrates this trade-off?","""The trade-off between hardware and software implementation of forwarding affects the overall performance of a router by balancing speed and flexibility. Hardware implementation provides faster forwarding, but is less flexible, whereas software implementation provides greater flexibility, but slower forwarding. An example illustrating this trade-off is a high-speed network with frequently changing routing tables, where software-based routing adapts quickly but introduces latency, while hardware-based forwarding maintains speed but struggles to adapt.""",4,3,,,,,
Full Model,Chapter 1.1,What are the key characteristics of connectionless and connection-oriented network service models that determine end-to-end delivery of packets between sending and receiving hosts?,"""Connectionless network service models do not guarantee end-to-end delivery, packet order, or time between transmissions. Connection-oriented network service models guarantee end-to-end delivery, packet order, and time between transmissions.""",5,3,,,,,
Full Model,Chapter 1.1,"How does the forwarding function operate in the context of general network layer operations, as opposed to routing protocols?","""The forwarding function in the network layer operates by transferring packets from a router's incoming links to its outgoing links, based on the packet's destination address.""",4,4,,,,,
Full Model,Chapter 1.1,How do the line-termination function and link-layer processing in an input port work together to implement the physical layer for an incoming link?,"""The line-termination function and link-layer processing in an input port work together to implement the physical layer for an incoming link by performing link-layer functions and a lookup function.""",4,4,,,,,
Full Model,Chapter 1.1,"How does the switching fabric, which connects the router¡¯s input ports to its output ports and is a network inside a network, facilitate communication within a router?","""The switching fabric connects the router¡¯s input ports to its output ports and is a network inside a network, facilitating communication within a router by enabling efficient and direct routing of packets between input and output ports.""",4,4,,,,,
Full Model,Chapter 1.1,"How does output port processing in a router handle packet transmission versus link-layer transmission, and what are the primary functions involved in each case?","""Output port processing handles packet transmission, selecting and de-queuing packets for transmission, and performing link-layer and physical-layer transmission functions.""",3,2,,,,,
Full Model,Chapter 1.1,"What are the primary factors that determine the location and extent of queuing in a router's input and output port queues, particularly in the context of bursty and steady-state traffic loads?","""The primary factors that determine the location and extent of queuing in a router's input and output port queues are traffic load, the relative speed of the switching fabric, and line speed.""",5,5,,,,,
Full Model,Chapter 1.1,"The forwarding function for a router with 8 input ports, each capable of handling 10 Gbps, should be implemented in hardware. Considering a 64-byte IP datagram arriving at each port simultaneously, what is the minimum processing speed required for the forwarding hardware to handle all datagrams before the next set arrives?","""51.2 ns""",4,2,,,,,
Full Model,Chapter 1.1,"What are the principal elements that link the network layer¡¯s data and control planes in the network control plane, specifically referring to the flow table and forwarding table?","""The principal elements that link the network layer¡¯s data and control planes are the forwarding table and the flow table.""",5,5,,,,,
Full Model,Chapter 1.1,"What is the primary pathology that can occur in the LS routing algorithm when link costs are not symmetric, leading to potential oscillations in the routing process?","""A pathology that can arise in the LS algorithm is when link costs are not symmetric.""",4,4,,,,,
Full Model,Chapter 1.1,"How do the forwarding table and flow table, as components of the network control plane, specifically link the data and control planes in a network, with an example of their actions in destination-based and generalized forwarding?","""The forwarding table and flow table link the data and control planes in a network by specifying the local data-plane forwarding behavior of a router, including actions such as forwarding, dropping, replicating, and rewriting packet header fields.""",5,4,,,,,
Full Model,Chapter 1.1,"How do the per-router control and logically centralized control approaches in routing algorithms differ in terms of scalability, efficiency, and ease of implementation?","""The per-router control approach involves running a routing algorithm in each router, with each router computing its own forwarding table through communication with other routers. In contrast, logically centralized control involves a centralized controller computing and distributing forwarding tables to all routers.""",4,3,,,,,
Full Model,Chapter 1.1,How does the Distance-Vector (DV) Routing Algorithm differ from the LS algorithm in terms of its scalability and operation?,"""The DV algorithm differs from the LS algorithm in terms of its scalability and operation, being distributed, iterative, and asynchronous.""",4,4,,,,,
Full Model,Chapter 1.1,How does the Bellman-Ford Equation calculate the minimum cost of the least-cost path from a given node x to all other nodes in the graph?,"""The Bellman-Ford Equation calculates the minimum cost of the least-cost path from a given node x to all other nodes in the graph by using the formula: dx(y) = minv5c(x, v) + dv(y)6.""",5,5,,,,,
Full Model,Chapter 1.1,"What role do the forwarding table and the flow table play in linking the network layer¡¯s data and control planes in the context of Software-Defined Networking (SDN), specifically in terms of the network control plane?","""The forwarding table and the flow table link the network layer¡¯s data and control planes in SDN by specifying the local data-plane forwarding behavior of a router.""",5,5,,,,,
Full Model,Chapter 1.1,What are the key components of the Distance-Vector Routing Algorithm?,"""The key components of the Distance-Vector Routing Algorithm are: it is iterative, asynchronous, and distributed, each node receives information from neighbors, performs calculations, and distributes results back to neighbors, and it is self-terminating.""",4,4,,,,,
Full Model,Chapter 1.1,How does the Bellman-Ford equation facilitate the determination of the shortest path from a source node to all other nodes in a weighted graph?,"""The Bellman-Ford equation facilitates the determination of the shortest path from a source node to all other nodes in a weighted graph by relating the costs of the least-cost paths among nodes through the equation dx(y) = minv5c(x, v) + dv(y)6.""",4,5,,,,,
Full Model,Chapter 1.1,"What are the primary differences in the approaches of the LS and DV routing algorithms, particularly in the context of network topology and information sharing?","""The primary differences between the LS and DV routing algorithms lie in their approach to computing routing, with DV relying on local information from directly connected neighbors and LS requiring global information.""",5,4,,,,,
Full Model,Chapter 1.1,"What specific role does the Link Layer play in facilitating communication between nodes in the OSI Model, and how does it enable the transfer of datagrams over individual links in the end-to-end path?","""The Link Layer facilitates communication between nodes in the OSI Model by enabling the transfer of datagrams over individual links in the end-to-end path.""",5,5,,,,,
Full Model,Chapter 1.1,"How do the various link-layer services, such as framing, link access, reliable delivery, and error detection/correction, contribute to the overall efficiency and reliability of data transmission in a network?","""The various link-layer services, such as framing, link access, reliable delivery, and error detection/correction, contribute to the overall efficiency and reliability of data transmission in a network by providing a reliable and error-free transfer of data across the link.""",5,5,,,,,
Full Model,Chapter 1.1,"How is the link layer implemented in a network adapter, specifically focusing on the interplay between hardware and software components?","""The link layer is implemented in a network adapter's link-layer controller, which is usually a single chip that implements many of the link-layer services in hardware.""",4,4,,,,,
Full Model,Chapter 1.1,How do the two main link layer services related to error handling differ between error detection and correction?,"""Error detection involves identifying that a bit error has occurred, whereas error correction involves not only detecting but also correcting the bit error.""",3,2,,,,,
Full Model,Chapter 1.1,What is the primary service offered by a link-layer protocol to move a datagram from one node to an adjacent node over a single communication link?,"""The primary service offered by a link-layer protocol to move a datagram from one node to an adjacent node over a single communication link is framing.""",3,3,,,,,
Full Model,Chapter 1.1,How does the concept of multiple access in point-to-point versus broadcast links impact the design and operation of link-layer protocols?,"""The concept of multiple access in point-to-point versus broadcast links impacts the design and operation of link-layer protocols by determining the number of nodes that can transmit and receive data on the link, with point-to-point links having a single sender and receiver and broadcast links having multiple nodes connected to a shared channel.""",5,5,,,,,
Full Model,Chapter 1.1,"What specific differences between channel partitioning, random access, and taking-turns protocols can be illustrated through the use of real-world scenarios or examples?","""Channel partitioning protocols divide the channel into separate time slots or frequencies for each user, random access protocols allow users to transmit at any time, and taking-turns protocols have users take turns transmitting in a predetermined order.""",4,3,,,,,
Full Model,Chapter 1.1,"How does the throughput of a decentralized multiple access protocol compare to a centralized one in a network with 10 nodes, each sending data at a rate of R bps?","""A decentralized multiple access protocol has a throughput of R/M bps when M nodes have data to send, each with an average transmission rate of R/M over a suitably defined interval of time.""",4,3,,,,,
Full Model,Chapter 1.1,"In a network with 5 nodes transmitting frames simultaneously, what happens when varying frame lengths are involved and how do different collision detection methods impact the outcome of the collision?","""When varying frame lengths are involved in a network with 5 nodes transmitting frames simultaneously, collisions can occur, causing the frames to become tangled together and making it difficult for receiving nodes to interpret the signals. Different collision detection methods, such as CSMA/CD (Carrier Sense Multiple Access with Collision Detection) and CSMA/CA (Carrier Sense Multiple Access with Collision Avoidance), can impact the outcome of the collision by either detecting the collision and retransmitting the frames or avoiding collisions altogether by sensing the network before transmitting.""",4,5,,,,,
Full Model,Chapter 1.1,"What are the desirable characteristics of a multiple access protocol for a broadcast channel, and how does it operate to achieve these characteristics?","""A multiple access protocol for a broadcast channel should ideally have a throughput of R bps when one node has data to send, and R/M bps when M nodes have data to send. It should be decentralized, simple, and inexpensive to implement.""",4,3,,,,,
Full Model,Chapter 1.1,"What are the primary components of a wireless network infrastructure, specifically focusing on the access, core, and edge segments?","""The primary components of a wireless network infrastructure include wireless hosts, wireless links, base stations, and the network infrastructure.""",4,4,,,,,
Full Model,Chapter 1.1,"What are the primary factors that specifically contribute to signal quality degradation in wireless links, such as interference or multipath propagation?","""Decreasing signal strength, interference from other sources, and multipath propagation.""",4,2,,,,,
Full Model,Chapter 1.1,"How does the subdivision of each bit slot into mini-slots affect the encoding process of CDMA, specifically in terms of how the CDMA code is applied to the original sequence of data bits?","""The subdivision of each bit slot into mini-slots affects the encoding process of CDMA by allowing the CDMA code to be applied to the original sequence of data bits in a more complex and nuanced way, enabling more efficient and reliable transmission.""",5,5,,,,,
Full Model,Chapter 1.1,"How does the base station facilitate communication between wireless hosts and the network infrastructure in different types of wireless networks, such as cellular and Wi-Fi?","""The base station facilitates communication between wireless hosts and the network infrastructure by connecting wireless hosts to the network through wireless communication links.""",4,4,,,,,
Full Model,Chapter 1.1,"How do the multipath propagation effects of signal reflection and diffraction on a wireless link between a moving smartphone and a stationary satellite dish impact the reliability of their connection, particularly in an urban environment with multiple tall buildings?","""Multipath propagation, signal reflection, and diffraction can decrease signal strength, cause interference, and create multipath propagation, all of which can negatively impact the reliability of the wireless connection between the smartphone and satellite dish in an urban environment.""",4,4,,,,,
Full Model,Chapter 1.1,What are the main components of the 802.11 architecture that are crucial to understanding its core concept?,"""The main components of the 802.11 architecture crucial to understanding its core concept are its frame structure, medium access protocol, and internetworking with wired Ethernet LANs.""",5,4,,,,,
Full Model,Chapter 1.1,"What is the common medium access protocol used by all 802.11 standards, such as 802.11ac or 802.11ax?","""CSMA/CA""",3,2,,,,,
Full Model,Chapter 1.1,"What are the key features or benefits of the IEEE 802.11 standard for wireless LANs, as mentioned in the segment?","""The key features or benefits of the IEEE 802.11 standard for wireless LANs include its pervasiveness in various environments and its emergence as the winner among various wireless LAN technologies and standards.""",5,4,,,,,
Full Model,Chapter 1.1,What specific aspects of the medium access protocol used by all 802.11 standards should be described?,"""CSMA/CA, the medium access protocol shared by all 802.11 standards.""",3,3,,,,,
Full Model,Chapter 1.1,"What is the primary purpose of the multiple access protocol in the 802.11 MAC protocol, specifically in managing contention between wireless stations?","""A multiple access protocol in the 802.11 MAC protocol is used to manage contention between wireless stations, allowing them to share the same channel and coordinate transmissions.""",4,4,,,,,
Full Model,Chapter 1.1,"In the context of Alice and Bob's communication, what are the desirable properties of secure communication as identified by them?","""Alice and Bob desire secure communication to ensure confidentiality, authenticity, integrity, and availability of their messages.""",5,3,,,,,
Full Model,Chapter 1.1,"How does the exchange of control messages and data messages between Alice and Bob contribute to achieving confidentiality, end-point authentication, and message integrity in a secure communication scenario?","""Control messages and data messages exchanged between Alice and Bob allow for confidentiality, end-point authentication, and message integrity by enabling secure communication.""",4,3,,,,,
Full Model,Chapter 1.1,How does the key affect the encryption process in a Caesar Cipher?,"""The key in a Caesar Cipher affects the encryption process by shifting the letters by a certain number of positions, determined by the key, which is added to their alphabetical index, wrapping around if needed.""",4,4,,,,,
Full Model,Chapter 1.1,"How does cryptography contribute to network security beyond providing confidentiality, particularly in relation to end-point authentication and message integrity?","""Cryptography provides end-point authentication and message integrity by verifying the sender and ensuring the message has not been tampered with.""",3,4,,,,,
Full Model,Chapter 1.1,"How do the primary aspects of modern cryptography, as practiced on the Internet, contribute to ensuring confidentiality, authentication, and message integrity?","""Cryptography ensures confidentiality, authentication, and message integrity through modern techniques such as encryption, digital signatures, and hash functions, which have been developed over the past 30 years.""",4,3,,,,,
Full Model,Chapter 1.1,"How does Alice's desire for secure communication with Bob over an insecure medium, where an intruder like Trudy may intercept their messages, relate to the need for confidentiality in network security?","""Alice's desire for secure communication with Bob over an insecure medium relates to the need for confidentiality in network security, as she wants only Bob to be able to understand her message, while preventing an intruder like Trudy from intercepting and decoding it.""",3,4,,,,,
Full Model,Chapter 1.1,What types of threats does end-point authentication primarily aim to address in secure communication?,"""End-point authentication primarily aims to address the threat of impersonation, where an attacker may pretend to be the sender or receiver, by confirming the identity of the other party involved in the communication.""",3,5,,,,,
Full Model,Chapter 1.1,"What types of sensitive information, such as encryption keys or user credentials, might an intruder have access to in a network security context?","""An intruder might have access to encryption keys or user credentials in a network security context.""",3,2,,,,,
Full Model,Chapter 1.1,What are the real-world applications and practical implications of using a principle that enables secure communication between two parties without requiring a shared secret key that is known in advance?,"""Public-key encryption, also known as asymmetric encryption, enables secure communication between two parties without requiring a shared secret key that is known in advance.""",4,2,,,,,
Full Model,Chapter 1.1,"How does the relationship between e and d, as well as the role of z, contribute to the security of the RSA encryption process, and how can z be used to find the value of d such that ed - 1 is exactly divisible by z?","""The relationship between e and d, as well as the role of z, contributes to the security of the RSA encryption process by ensuring that the public key (e) and private key (d) are mathematically related, and that d is chosen such that ed - 1 is exactly divisible by z. This relationship is crucial for the decryption process, as it allows Bob to recover the original message. z is used to find the value of d by ensuring that d is the modular multiplicative inverse of e modulo z, which is a necessary condition for the decryption process to work correctly.""",5,5,,,,,
Full Model,Chapter 1.1,"How do different multimedia network applications, classified under a specific taxonomy, exhibit distinct differences in terms of video and audio characteristics and service requirements?","""Multimedia network applications, classified under a specific taxonomy, exhibit distinct differences in terms of video and audio characteristics and service requirements.""",3,3,,,,,
Full Model,Chapter 1.1,"What is the primary characteristic that distinguishes video from digital audio in terms of bandwidth requirements, specifically highlighting the high bit rate requirement of video?","""The primary characteristic that distinguishes video from digital audio in terms of bandwidth requirements is its high bit rate, with video typically requiring significantly more bandwidth than digital audio.""",4,3,,,,,
Full Model,Chapter 1.1,"What are the three main categories of multimedia applications supported by the Internet, and can you provide specific examples for each category to help illustrate the concept?","""Streaming stored audio/video, conversational voice/video-over-IP, and streaming live audio/video.""",5,2,,,,,
Full Model,Chapter 1.1,"How does client-side buffering in video streaming enable users to interact with a video on demand, such as pausing or repositioning to a future or past scene, without significant interruptions?","""Client-side buffering in video streaming enables users to interact with a video on demand by storing a portion of the video on the user's device, allowing for pausing or repositioning without significant interruptions.""",2,4,,,,,
Full Model,Chapter 1.1,"What are the three main categories of video streaming systems, and how do they differ from one another in terms of their characteristics, such as the protocols used and the level of adaptability, with a brief definition for each category and an example of a popular service that utilizes each type?","""The three main categories of video streaming systems are UDP streaming, HTTP streaming, and adaptive HTTP streaming. UDP streaming uses UDP protocol, HTTP streaming uses HTTP protocol, and adaptive HTTP streaming uses HTTP protocol with adaptability.""",5,2,,,,,
Full Model,Chapter 1.1,"What steps would a user take to interact with a prerecorded video on demand, given options to pause, reposition to a future or past scene, or stop watching the video well before it ends?","""A user would take the following steps to interact with a prerecorded video on demand: 1. Send a request to the server to view the video, 2. Choose to pause, reposition to a future or past scene, or stop watching the video at any time, and 3. Interact with the video accordingly.""",3,5,,,,,
Full Model,Chapter 1.1,"What are the three main categories of video streaming systems, and what are the key characteristics and trade-offs between HTTP streaming and adaptive HTTP streaming?","""HTTP streaming, adaptive HTTP streaming, and UDP streaming are the three main categories of video streaming systems.""",4,3,,,,,
Full Model,Chapter 1.1,What is the primary purpose of client-side buffering in video streaming: reducing end-to-end delays or managing available bandwidth?,"""The primary purpose of client-side buffering in video streaming is to manage available bandwidth.""",4,4,,,,,
Full Model,Chapter 1.1,What are the main advantages of using HTTP streaming over traditional streaming protocols in the context of traversing firewalls or NATs?,"""HTTP streaming can traverse firewalls and NATs more easily than traditional streaming protocols, and it eliminates the need for a media control server.""",4,3,,,,,
No Agent,Chapter 1.1,What is the primary vehicle used in this book for discussing computer networks and their protocols?,The public Internet.,2,2,,,,,
No Agent,Chapter 1.1,What is estimated to be the number of devices connected to the Internet by 2020?,25 billion.,3,1,,,,,
No Agent,Chapter 1.1,"What is the analogy used to describe packet-switched networks, where packets are analogous to what, communication links are analogous to what, and packet switches are analogous to what?","Trucks, highways and roads, and intersections, respectively.",2,1,,,,,
No Agent,Chapter 1.1,"What is the primary function of Internet Service Providers (ISPs), including residential ISPs, corporate ISPs, and cellular data ISPs?",To provide access to the Internet for end systems.,2,3,,,,,
No Agent,Chapter 1.1,"What is the name of the body responsible for developing Internet standards, including protocols such as TCP, IP, HTTP, and SMTP?",The Internet Engineering Task Force (IETF).,3,2,,,,,
No Agent,Chapter 1.2,What is referred to as the edge of a network in computer networking jargon?,End systems.,3,1,,,,,
No Agent,Chapter 1.2,What are the two most prevalent types of broadband residential access?,Digital subscriber line (DSL) and cable.,2,1,,,,,
No Agent,Chapter 1.2,What is the primary function of a DSL modem in a residential setting?,The DSL modem takes digital data and translates it to high-frequency tones for transmission over telephone wires to the CO.,2,3,,,,,
No Agent,Chapter 1.2,What is the name of the device that separates the data and phone signals arriving to the home and forwards the data signal to the DSL modem?,A splitter.,4,1,,,,,
No Agent,Chapter 1.2,"What is the technique used to make the single DSL link appear as if there were three separate links, allowing a telephone call and an Internet connection to share the DSL link at the same time?",Frequency-division multiplexing.,3,1,,,,,
No Agent,Chapter 2.1,What is the primary purpose of the World Wide Web?,"The primary purpose of the World Wide Web is to allow users to interact with information on demand, making it available at any time and from any location.",3,3,,,,,
No Agent,Chapter 2.1,What is the main advantage of using the World Wide Web over traditional broadcast radio and television?,"The main advantage of using the World Wide Web is that it operates on demand, allowing users to receive what they want, when they want it, unlike traditional broadcast media which force users to tune in at a specific time.",3,2,,,,,
No Agent,Chapter 2.1,What is the name of the application-layer protocol that is at the heart of the World Wide Web?,The HyperText Transfer Protocol (HTTP) is the application-layer protocol that is at the heart of the World Wide Web.,4,4,,,,,
No Agent,Chapter 2.1,What is the primary difference between non-persistent and persistent connections in HTTP?,"The primary difference between non-persistent and persistent connections in HTTP is that non-persistent connections close after each request, while persistent connections remain open and can be used for multiple requests.",2,2,,,,,
No Agent,Chapter 2.1,What is the purpose of cookies in HTTP?,"The purpose of cookies in HTTP is to allow Web sites to identify users, either to restrict access or to serve content based on user identity, by storing a unique identification number on the user's browser and associating it with a back-end database.",3,3,,,,,
No Agent,Chapter 2.2,What was the primary use of the Internet before the advent of the World Wide Web?,"The Internet was primarily used by researchers, academics, and university students to log in to remote hosts, transfer files, receive and send news, and receive and send electronic mail.",3,2,,,,,
No Agent,Chapter 2.2,What is the main advantage of the World Wide Web over traditional broadcast radio and television?,"The Web operates on demand, allowing users to receive what they want, when they want it.",3,2,,,,,
No Agent,Chapter 2.2,What is the primary function of the HyperText Transfer Protocol (HTTP) in the context of the Web?,HTTP defines how Web clients request Web pages from Web servers and how servers transfer Web pages to clients.,4,1,,,,,
No Agent,Chapter 2.2,What is the purpose of cookies in the context of HTTP and the Web?,"Cookies allow Web sites to identify users, either by restricting user access or by serving content as a function of the user identity.",4,2,,,,,
No Agent,Chapter 2.2,What is the primary difference between non-persistent and persistent connections in HTTP?,"Non-persistent connections close after each request-response pair, while persistent connections remain open for subsequent requests and responses between the same client and server.",2,2,,,,,
No Agent,Chapter 3.1,What is the primary function of the transport layer in a computer network?,The primary function of the transport layer is to provide logical communication between application processes running on different hosts.,3,3,,,,,
No Agent,Chapter 3.1,What is the purpose of the source port number in a UDP segment?,The source port number serves as part of a "return address" when a segment is sent back to the source host.,3,3,,,,,
No Agent,Chapter 3.1,How does a host demultiplex incoming TCP segments?,"A host demultiplexes incoming TCP segments by using all four values: source IP address, source port number, destination IP address, and destination port number.",1,1,,,,,
No Agent,Chapter 3.1,What is the main difference between a TCP socket and a UDP socket in terms of identification?,"A TCP socket is identified by a four-tuple: source IP address, source port number, destination IP address, and destination port number, whereas a UDP socket is identified by a two-tuple: destination IP address and destination port number.",2,1,,,,,
No Agent,Chapter 3.1,What is the purpose of transport-layer multiplexing and demultiplexing?,The purpose of transport-layer multiplexing and demultiplexing is to extend the host-to-host delivery service provided by the network layer to a process-to-process delivery service for applications running on the hosts.,3,4,,,,,
No Agent,Chapter 3.2,What is the purpose of transport-layer multiplexing and demultiplexing?,The purpose of transport-layer multiplexing and demultiplexing is to extend the host-to-host delivery service provided by the network layer to a process-to-process delivery service for applications running on the hosts.,3,3,,,,,
No Agent,Chapter 3.2,What is the role of sockets in transport-layer multiplexing and demultiplexing?,"Sockets have a unique identifier, and each segment has special fields that indicate the socket to which the segment is to be delivered.",3,3,,,,,
No Agent,Chapter 3.2,What is the difference between a UDP socket and a TCP socket in terms of identification?,"A UDP socket is identified by a two-tuple consisting of a destination IP address and a destination port number, while a TCP socket is identified by a four-tuple: (source IP address, source port number, destination IP address, destination port number).",2,2,,,,,
No Agent,Chapter 3.2,How does a TCP server distinguish between segments from different clients?,A TCP server distinguishes between segments from different clients using source IP addresses and source port numbers.,1,1,,,,,
No Agent,Chapter 3.2,What is the purpose of the source port number in a TCP segment?,"The source port number serves as part of a return address, allowing the destination host to send a segment back to the source host using the source port number as the destination port number in the return segment.",3,4,,,,,
No Agent,Chapter 4.1,What is the primary role of the network layer in a network?,The primary role of the network layer is to move packets from a sending host to a receiving host.,3,3,,,,,
No Agent,Chapter 4.1,What are the two important network-layer functions that can be identified for packet forwarding?,"Forwarding and routing. Forwarding refers to the router-local action of transferring a packet from an input link interface to the appropriate output link interface, while routing refers to the network-wide process that determines the end-to-end paths that packets take from source to destination.",2,3,,,,,
No Agent,Chapter 4.1,What is the purpose of a forwarding table in a router?,"A router forwards a packet by examining the value of one or more fields in the arriving packet's header, and then using these header values to index into its forwarding table, which indicates the outgoing link interface at that router to which that packet is to be forwarded.",2,3,,,,,
No Agent,Chapter 4.1,What is the Internet's network layer service model known as?,Best-effort service.,2,1,,,,,
No Agent,Chapter 4.1,What is the main difference between forwarding and routing in a network?,"Forwarding refers to the router-local action of transferring a packet from an input link interface to the appropriate output link interface, typically implemented in hardware and taking place at very short timescales, while routing refers to the network-wide process that determines the end-to-end paths that packets take from source to destination, typically implemented in software and taking place on much longer timescales.",3,3,,,,,
No Agent,Chapter 4.2,What are the four router components that can be identified in a generic router architecture?,"The four router components are input ports, switching fabric, output ports, and routing processor.",2,2,,,,,
No Agent,Chapter 4.2,What is the primary function of the input port in a router?,"The primary function of the input port is to perform several key functions, including terminating an incoming physical link, performing link-layer functions, and performing a lookup function to determine the router output port to which an arriving packet will be forwarded via the switching fabric.",3,4,,,,,
No Agent,Chapter 4.2,What is the purpose of the forwarding table in a router?,The forwarding table is used by the router to look up the output port to which an arriving packet will be forwarded via the switching fabric.,3,4,,,,,
No Agent,Chapter 4.2,What is the difference between switching via memory and switching via a bus in a router?,"Switching via memory involves the routing processor copying the packet from the input port into processor memory, while switching via a bus involves an input port transferring a packet directly to the output port over a shared bus.",2,3,,,,,
No Agent,Chapter 4.2,What is the purpose of packet scheduling in a router?,The purpose of packet scheduling in a router is to determine the order in which queued packets are transmitted over an outgoing link.,3,3,,,,,
No Agent,Chapter 5.1,What is the purpose of the network control plane in the context of the network layer?,The network control plane determines the local data-plane forwarding behavior of a router by specifying the forwarding table.,3,3,,,,,
No Agent,Chapter 5.1,What is the key distinction between per-router control and logically centralized control in the network control plane?,"The key distinction is that in per-router control, each router has a routing component that communicates with other routers to compute its forwarding table, whereas in logically centralized control, a centralized controller computes and distributes the forwarding tables to all routers.",3,3,,,,,
No Agent,Chapter 5.1,What is the main goal of a routing algorithm in determining good paths between senders and receivers through the network of routers?,The main goal of a routing algorithm is to identify the least costly paths between sources and destinations.,3,3,,,,,
No Agent,Chapter 5.1,"What is the computational complexity of Dijkstra's algorithm, which is used in the link-state routing algorithm?","The computational complexity of Dijkstra's algorithm is O(n^2), where n is the number of nodes in the network.",3,4,,,,,
No Agent,Chapter 5.1,What can be done to prevent oscillations in link-state algorithms that use a congestion or delay-based link metric?,"One solution is to ensure that not all routers run the LS algorithm at the same time, or to randomize the time each router sends out a link advertisement to avoid self-synchronization among routers.",1,3,,,,,
No Agent,Chapter 5.2,What is the main difference between the LS algorithm and the DV algorithm?,"The LS algorithm uses global information, whereas the DV algorithm is iterative, asynchronous, and distributed.",3,2,,,,,
No Agent,Chapter 5.2,What is the purpose of the Bellman-Ford equation in the context of the DV algorithm?,The Bellman-Ford equation provides the entries in node x's forwarding table and suggests the form of the neighbor-to-neighbor communication that will take place in the DV algorithm.,3,4,,,,,
No Agent,Chapter 5.2,How does a node update its distance-vector estimate in the DV algorithm?,A node updates its distance-vector estimate when it either sees a cost change in one of its directly attached links or receives a distance-vector update from some neighbor.,3,2,,,,,
No Agent,Chapter 5.2,What is the count-to-infinity problem in the context of the DV algorithm?,The count-to-infinity problem occurs when a node receives incorrect information from its neighbors and continues to route packets through a node that has an incorrect path to the destination.,3,3,,,,,
No Agent,Chapter 5.2,What is the purpose of poisoned reverse in the DV algorithm?,"Poisoned reverse is a technique used to avoid the count-to-infinity problem by having a node advertise an incorrect path to its neighbor, preventing it from routing packets through that node.",3,3,,,,,
No Agent,Chapter 6.1,What is the basic terminology used to refer to any device that runs a link-layer protocol?,A node.,2,1,,,,,
No Agent,Chapter 6.1,What are the services that can be offered by a link-layer protocol?,"Framing, link access, reliable delivery, and error detection and correction.",2,1,,,,,
No Agent,Chapter 6.1,Where is the link layer implemented in a host?,"In a network adapter, also known as a network interface card (NIC), which is typically implemented in a single, special-purpose chip.",3,1,,,,,
No Agent,Chapter 6.1,What is the primary advantage of using forward error correction (FEC) techniques in a network setting?,FEC techniques can decrease the number of sender retransmissions required and allow for immediate correction of errors at the receiver.,2,3,,,,,
No Agent,Chapter 6.1,What is the key idea behind cyclic redundancy check (CRC) codes?,"The key idea behind CRC codes is to choose r additional bits, R, and append them to D such that the resulting d + r bit pattern (interpreted as a binary number) is exactly divisible by G (i.e., has no remainder) using modulo-2 arithmetic.",2,3,,,,,
No Agent,Chapter 6.2,What is the primary problem that multiple access protocols aim to solve in a broadcast channel?,The primary problem is to coordinate the access of multiple sending and receiving nodes to a shared broadcast channel.,2,3,,,,,
No Agent,Chapter 6.2,What are the two main types of network links mentioned in the text?,The two main types of network links are point-to-point links and broadcast links.,2,2,,,,,
No Agent,Chapter 6.2,"What is the name of the protocol that allows a node to transmit continuously at the full rate, R, when that node is the only active node?",Slotted ALOHA.,4,1,,,,,
No Agent,Chapter 6.2,What is the maximum efficiency of the slotted ALOHA protocol when a large number of nodes have many frames to transmit?,1/e = 0.37.,3,1,,,,,
No Agent,Chapter 6.2,What is the name of the algorithm used in Ethernet and other CSMA/CD protocols to solve the problem of choosing a random backoff time after a collision?,Binary Exponential Backoff.,3,1,,,,,
No Agent,Chapter 7.1,What are the three key elements of a wireless network?,"The three key elements of a wireless network are wireless hosts, wireless links, and base stations.",2,2,,,,,
